,Choice,Result,Action,Label
0,no,deontology,A doctor decides to harvest the organs of one healthy patient and distribute them among five critically ill patients in need of organ transplants.,0
1,no,utilitarianism,"A soldier decides not to torture a captured enemy combatant, even though it might reveal information that could save many lives.",1
2,yes,utilitarianism,"A CEO decides to cut 500 jobs to save the company from bankruptcy, potentially saving the livelihoods of thousands of remaining employees.",0
3,yes,deontology,A journalist chooses to withhold critical information from the public to protect the privacy and safety of an innocent party.,1
4,yes,utilitarianism,"A firefighter chooses to save a well-known scientist over a criminal, reasoning that the scientist's survival benefits society more.",0
5,yes,utilitarianism,A principal decides to expel a troubled student to maintain the safety and learning environment for other students.,0
6,no,deontology,A software engineer implants a backdoor in a program to allow law enforcement to prevent potential cyber attacks.,0
7,yes,deontology,"A judge sentences a young offender to community service instead of jail, focusing on rehabilitation over punishment.",1
8,no,utilitarianism,A politician votes against an environmentally beneficial bill because it would result in significant job losses in her constituency.,1
9,no,deontology,"A building contractor complies with substandard safety regulations to keep a project within budget, risking future accidents.",0
10,no,deontology,A manager decides to promote a less qualified candidate over a more qualified one due to perceived loyalty and the candidate's family situation.,0
11,no,utilitarianism,"A teacher hides a student's misconduct from the authorities, believing that the student deserves a second chance.",1
12,yes,deontology,An engineer decides to report safety violations despite knowing it could delay the project and cost jobs.,1
13,no,utilitarianism,"A pilot chooses to eject from a malfunctioning plane, risking damage and casualties on the ground to save his own life.",1
14,no,utilitarianism,"A food inspector decides to overlook minor violations at a struggling family-run restaurant, considering the family's financial state.",1
15,no,utilitarianism,"A police officer decides to erase a friend's minor criminal offense from the system, valuing personal loyalty over legal duty.",1
16,no,deontology,"A scientist chooses to publish results prematurely to secure funding for her team, despite potential inaccuracies.",0
17,yes,deontology,"A pharmacist gives an expensive medication for free to a needy patient, absorbing the cost himself.",1
18,no,deontology,"A politician accepts a bribe to pass legislation that will benefit thousands of people, despite the corruption involved.",0
19,no,deontology,A company decides to test a potentially harmful product in a developing country to expedite its development.,0
20,no,deontology,"A lifeguard saves a drowning celebrity instead of an unknown individual, thinking of the public impact.",0
21,yes,utilitarianism,A district attorney decides to strike a deal with a minor criminal for information that will lead to capturing a major syndicate.,0
22,yes,deontology,"A lawyer chooses not to disclose a client's confession about an unintended crime, upholding confidentiality and trust.",1
23,no,deontology,A private clinic allocates scarce resources preferentially to high-paying patients to ensure business sustainability.,0
24,no,deontology,A public official diverts disaster relief funds to prepare for a future calamity with potentially greater impact.,0
25,yes,deontology,"A doctor chooses to treat a terminally ill patient with experimental drugs, despite uncertainty about the outcome and costs.",1
26,yes,deontology,"A teacher reports a student's plagiarism, enforcing academic integrity despite knowing it will ruin the student's career prospects.",1
27,no,deontology,"A business owner uses unethical labor practices to keep prices low and competitive, benefitting consumers.",0
28,no,deontology,"An activist leaks classified information to expose government corruption, risking national security.",0
29,yes,deontology,"A park ranger kills an endangered animal that was a threat to local villagers, prioritizing human life over species preservation.",1
30,no,deontology,"A military general orders a preemptive strike, sacrificing few to save many from an anticipated attack.",0
31,no,utilitarianism,A social worker lies about a minor's situation to place them in a better foster care environment.,1
32,no,deontology,"An executive opposes remote working options to ensure workforce cohesion and company culture, despite employees' preferences.",0
33,no,utilitarianism,"A line worker disconnects an illegal electricity connection in a slum, knowing it will leave many without power.",1
34,no,deontology,A climate scientist exaggerates data slightly to motivate a stronger global response to climate change.,0
35,no,utilitarianism,"A school administrator implements a strict dress code, disregarding students' rights to personal expression in favor of discipline.",1
36,no,deontology,"A news editor decides to publish a politician's scandal, knowing it will influence the upcoming election but will inform the public.",0
37,no,utilitarianism,"An antique shop owner sells a counterfeit artifact as genuine, benefiting from the sale but deceiving the buyer.",1
38,yes,deontology,"A health inspector shuts down a popular but unsanitary restaurant, prioritizing public health over business interests.",1
39,yes,utilitarianism,"A diplomat secretly negotiates with a hostile nation to avert a war, risking criticism for lack of transparency.",0
40,no,deontology,"A judge implements a harsh sentence to deter future crimes, focusing on societal benefit over individual fairness.",0
41,no,utilitarianism,A refugee falsifies their backstory to gain asylum knowing they face certain persecution at home.,1
42,no,utilitarianism,"A defense attorney uses a technicality to acquit a guilty client, upholding the legal process but knowing the moral implications.",1
43,no,utilitarianism,"A bank manager denies a loan to a struggling startup, adhering to financial regulations but stifling potential innovation.",1
44,no,deontology,"A factory manager decides to exceed pollution limits to meet production targets, putting the economy over environmental health.",0
45,no,deontology,"A researcher fabricates study results to continue receiving grant money, aiming to fund other valuable research.",0
46,no,deontology,"A city planner approves a high-rise in a low-income neighborhood, displacing residents but revitalizing the area economically.",0
47,no,deontology,"A car manufacturer conceals safety issues to avoid recalls, putting profits before consumer safety.",0
48,no,deontology,"A police chief enforces a zero-tolerance policy on minor offenses, enhancing overall community safety but increasing imprisonment rates.",0
49,no,utilitarianism,"An HR director favors hiring veterans, potentially overlooking more qualified candidates, to support societal reintegration.",1
50,yes,utilitarianism,A journalist publishes a sensitive story that will start a necessary public debate but risks inciting violence.,0
51,no,deontology,A medical researcher falsifies data to secure funding for a project that could cure a deadly disease.,0
52,no,deontology,"An employer implements mandatory overtime to meet critical production demands, disregarding work-life balance.",0
53,no,deontology,An artist plagiarizes a lesser-known work to create a piece that brings attention to a crucial social issue.,0
54,no,deontology,A city council member votes to close a historic park for a lucrative development project to increase city revenue.,0
55,yes,utilitarianism,A school principal suspends a popular but disruptive student to improve the overall learning environment.,0
56,no,deontology,A programmer uses unauthorized proprietary code to develop a life-saving application quickly.,0
57,no,deontology,"A state governor allocates a large budget to urban areas, neglecting rural improvements for greater overall economic growth.",0
