,Choice,Result,Action,Label
0,yes,utilitarianism,"A king decides to levy heavier taxes on wealthy landowners to fund welfare programs for the starving population, although it breaks his promise of no new taxes.",0
1,no,utilitarianism,"A general orders the execution of a soldier for deserting his post to save his family from a flooding village, upholding military discipline.",1
2,yes,utilitarianism,"A ruler imposes a strict curfew on a city to control a deadly plague, limiting citizens' freedoms significantly.",0
3,yes,utilitarianism,A captain of the guard lies to protect the identity of a network of spies crucial to national security.,0
4,no,deontology,A local sheriff decides to let a well-known thief go free because the thief provides food to the poor.,0
5,no,utilitarianism,"A judge sentences a young, repentant pickpocket to harsh punishment to serve as an example to deter future crimes.",1
6,no,deontology,"A village chief permits a mining company to destroy a sacred forest, arguing it will bring economic prosperity to his community.",0
7,no,utilitarianism,"A feudal lord insists on upholding the tradition of trial by combat, despite knowing it often leads to unjust deaths.",1
8,no,deontology,A military commander decides against evacuating a town under risk from an advancing enemy to maintain strategic position.,0
9,no,deontology,"A city mayor enforces a policy that all migrants must live in segregated areas to ensure city security, infringing on their right to choose their residence.",0
10,yes,deontology,"A guild master expels a member for secretly teaching trade skills to non-members, though this knowledge could improve many lives.",1
11,no,deontology,An educational reformer manipulates test results to secure funding for impoverished schools.,0
12,no,deontology,A noble decides to enforce serfdom more strictly to maximize agricultural output and feed more people.,0
13,yes,utilitarianism,A prince illegally helps a foreign fugitive escape because the fugitive was morally opposed to his own corrupt king.,0
14,no,utilitarianism,"A village elder refuses to evacuate his village despite a volcanic eruption warning, prioritizing communal spiritual rites.",1
15,no,deontology,"A town council decides to ration medicine, giving more to younger patients, which unintentionally discriminates against the elderly.",0
16,no,utilitarianism,"A judge punishes a poverty-stricken man harshly for stealing bread to feed his family, insisting on the sanctity of law.",1
17,no,utilitarianism,"A religious leader bans a popular but controversial play in town to maintain moral decorum, censoring cultural expression.",1
18,yes,utilitarianism,"A commander destroys a dam to flood an enemy position, knowing it will also displace thousands of civilians.",0
19,yes,utilitarianism,A castle steward secretly uses funds meant for castle repairs to feed the poor during a famine.,0
20,yes,deontology,An aristocrat preserves an ancient but decaying bridge as a cultural heritage site despite safety risks.,1
21,yes,utilitarianism,"A humanitarian leads a coup to overthrow a tyrannical ruler, causing temporary chaos in the kingdom.",0
22,yes,deontology,"A merchant closes his shops in protest of an unfair tax, starving the community of necessary supplies.",1
23,no,utilitarianism,A bishop covers up a scandal involving clergy to protect the church's image.,1
24,no,utilitarianism,A schoolmaster decides to exclude refugee children from school to maintain high educational standards.,1
