,Choice,Result,Action,Label
0,no,utilitarianism,A journalist considers publishing a story that exposes a politician's corruption but will likely cause harm to the politician's innocent family.,1
1,no,deontology,A police officer contemplates letting a minor theft slide to prevent the young thief from going through a potentially life-ruining trial.,0
2,no,deontology,A CEO thinks about significantly underpaying foreign labor to decrease production costs and lower consumer prices globally.,0
3,no,deontology,A pharmacist decides to hike up the price of a life-saving drug to fund research for more advanced medicine.,0
4,no,deontology,A driver considers running a red light late at night on an empty road to get an injured passenger to the hospital faster.,0
5,yes,utilitarianism,"An employee contemplates whistleblowing on their company’s illegal activities, which would save future consumers but cost their colleagues their jobs.",0
6,no,utilitarianism,A teacher contemplates passing a failing student to avoid the student's loss of self-esteem and potential drop out.,1
7,no,utilitarianism,A pilot thinks about falsifying a report on a minor safety issue to avoid panic among passengers.,1
8,no,deontology,"A firefighter decides to save five strangers instead of the mayor, although the mayor could contribute significantly to the community’s welfare.",0
9,no,deontology,A politician considers implementing a policy that benefits the majority but mistreats a minority group.,0
10,yes,deontology,A soldier ponders violating direct orders to save civilians at potential strategic cost to their unit.,1
11,no,deontology,"A software developer debates inserting a backdoor in an application to gather information on criminals, potentially compromising all users’ privacy.",0
12,no,utilitarianism,"A manager thinks about firing a competent employee who is secretly battling with addiction, to prevent potential future liabilities.",1
13,yes,utilitarianism,A school board decides to implement an unpopular educational curriculum that statistically improves learning outcomes.,0
14,no,utilitarianism,A scientist contemplates falsifying study results for securing funding that would ensure the continuation of otherwise beneficial research.,1
15,no,utilitarianism,"A doctor considers lying about the severity of a patient's condition to the family to keep hope alive, despite the prognosis.",1
16,no,utilitarianism,An attorney thinks about defending a guilty client to prevent the law firm's reputation from deteriorating.,1
17,no,deontology,A city planner has to choose between building a much-needed hospital and preserving a historical park.,0
18,no,deontology,A judge thinks about imposing a harsh sentence on a minor criminal to deter future crimes in a high-crime area.,0
19,no,deontology,A parole officer considers recommending early release for a technically ineligible prisoner to alleviate overcrowded prison conditions.,0
20,no,utilitarianism,A food inspector decides to overlook minor violations in a struggling restaurant to prevent it from closing and causing job losses.,1
21,no,deontology,A corporate executive considers outsourcing jobs to a country with lower labor standards to keep the company competitive.,0
22,no,deontology,A charity director debates using donated funds for high-risk investments to potentially multiply resources for beneficiaries.,0
23,no,deontology,A counselor contemplates breaking confidentiality to warn a potential victim about their patient’s threatening behavior.,0
24,yes,deontology,A kid debates whether to report a friend's minor cheating to uphold school integrity.,1
25,no,deontology,A bus driver decides to skip less crowded stops to maintain schedule and accommodate more passengers overall.,0
26,no,deontology,An environmental regulator thinks about allowing a large company to violate pollution standards during an economic downturn.,0
27,no,utilitarianism,A hiring manager considers nepotism to promote familial harmony despite a more qualified outside candidate being available.,1
